Date,Aysen,Cisnes,Palena,Puelo,Yelcho
1982-03-28,,,,254.0,
1982-03-29,,,,243.0,
1982-03-30,,,,247.0,
1982-03-31,,,,231.0,
1982-04-01,,,,217.0,
1982-04-02,,,,205.0,
1982-04-03,,,,205.0,
1982-04-04,,,,199.0,
1982-04-05,,,,195.0,
1982-04-06,,,,201.0,
1982-04-07,,,,207.0,
1982-04-08,,,,209.0,
1982-04-09,,,,206.0,
1982-04-10,,,,203.0,
1982-04-11,,,,225.0,
1982-04-12,,,,229.0,
1982-04-13,,,,222.0,
1982-04-14,,,,203.0,
1982-04-15,,,,188.0,
1982-04-16,,,,177.0,
1982-04-17,,,,258.0,
1982-04-18,,,,251.0,
1982-04-19,,,,211.0,
1982-04-20,,,,182.0,
1982-04-21,,,,166.0,
1982-04-22,,,,156.0,
1982-04-23,,,,151.0,
1982-04-24,,,,191.0,
1982-04-25,,,,260.0,
1982-04-26,,,,217.0,
1982-04-27,,,,190.0,
1982-04-28,,,,177.0,
1982-04-29,,,,192.0,
1982-04-30,,,,222.0,
1982-05-01,,,,202.0,
1982-05-02,,,,223.0,
1982-05-03,,,,239.0,
1982-05-04,,,,252.0,
1982-05-05,,,,250.0,
1982-05-06,,,,281.0,
1982-05-07,,,,414.0,
1982-05-08,,,,350.0,
1982-05-09,,,,337.0,
1982-05-10,,,,415.0,
1982-05-11,,,,594.0,
1982-05-12,,,,649.0,
1982-05-13,,,,639.0,
1982-05-14,,,,560.0,
1982-05-15,,,,522.0,
1982-05-16,,,,720.0,
1982-05-17,,,,688.0,
1982-05-18,,,,610.0,
1982-05-19,,,,541.0,
1982-05-20,,,,560.0,
1982-05-21,,,,563.0,
1982-05-22,,,,514.0,
1982-05-23,,,,500.0,
1982-05-24,,,,620.0,
1982-05-25,,,,671.0,
1982-05-26,,,,554.0,
1982-05-27,,,,481.0,
1982-05-28,,,,738.0,
1982-05-29,,,,1901.0,
1982-05-30,,,,3600.0,
1982-05-31,,,,3543.0,
1982-06-01,,,,2680.0,
1982-06-02,,,,2104.0,
1982-06-03,,,,1726.0,
1982-06-04,,,,1700.0,
1982-06-05,,,,1531.0,
1982-06-06,,,,1485.0,
1982-06-07,,,,1652.0,
1982-06-08,,,,1665.0,
1982-06-09,,,,1506.0,
1982-06-10,,,,1431.0,
1982-06-11,,,,1309.0,
1982-06-12,,,,1172.0,
1982-06-13,,,,1025.0,
1982-06-14,,,,906.0,
1982-06-15,,,,800.0,
1982-06-16,,,,712.0,
1982-06-17,,,,639.0,
1982-06-18,,,,585.0,
1982-06-19,,,,529.0,
1982-06-20,,,,491.0,
1982-06-21,,,,458.0,
1982-06-22,,,,425.0,
1982-06-23,,,,402.0,
1982-06-24,,,,402.0,
1982-06-25,,,,390.0,
1982-06-26,,,,385.0,
1982-06-27,,,,373.0,
1982-06-28,,,,354.0,
1982-06-29,,,,355.0,
1982-06-30,,,,506.0,
